time,open,high,low,close,volume,close_time,quote_volume,trade_number,taker_buy_volume,taker_quote_volume,na
1678046400000,1566.22000000,1579.45000000,1556.15000000,1564.58000000,76538.08420000,1678060799999,119852042.41158200,105211,37500.62860000,58714898.68054000,0
1678060800000,1564.57000000,1572.80000000,1556.42000000,1562.59000000,60201.27560000,1678075199999,94079302.70784900,106079,29160.87750000,45571643.45208900,0
1678075200000,1562.58000000,1565.41000000,1554.44000000,1561.18000000,31575.81940000,1678089599999,49272692.42091600,64833,15185.84840000,23696464.28506100,0
1678089600000,1561.19000000,1568.42000000,1557.57000000,1563.33000000,38211.21240000,1678103999999,59768493.72567900,73451,17319.26700000,27089332.89907000,0
1678104000000,1563.32000000,1583.49000000,1561.46000000,1578.00000000,69015.89680000,1678118399999,108407493.56809300,97873,36752.18560000,57736087.27251900,0
1678118400000,1578.00000000,1580.83000000,1563.00000000,1566.19000000,55770.24900000,1678132799999,87679582.77069200,87017,28471.84750000,44770483.95595200,0
1678132800000,1566.19000000,1572.00000000,1559.41000000,1565.84000000,52934.84790000,1678147199999,82939198.77316800,65877,24539.24060000,38451649.31894500,0
1678147200000,1565.84000000,1584.49000000,1561.48000000,1575.10000000,54423.82810000,1678161599999,85563394.82216800,80845,29169.59150000,45860984.89695000,0
1678161600000,1575.10000000,1576.66000000,1570.69000000,1571.35000000,26185.90900000,1678175999999,41197530.78392900,52227,12748.10650000,20055614.23324800,0
1678176000000,1571.34000000,1571.39000000,1562.34000000,1563.42000000,42458.88600000,1678190399999,66516936.77731000,70394,21023.58100000,32938155.07954800,0
1678190400000,1563.43000000,1573.00000000,1536.14000000,1560.79000000,154919.37350000,1678204799999,241027501.24922800,185620,78162.41510000,121627556.26022200,0
1678204800000,1560.71000000,1565.61000000,1547.59000000,1551.26000000,78449.79370000,1678219199999,122145596.40891500,105288,38263.25150000,59583813.51183000,0
1678219200000,1551.26000000,1563.98000000,1543.10000000,1561.96000000,81510.11290000,1678233599999,126414680.70286200,106783,43471.22580000,67431783.95432400,0
1678233600000,1561.95000000,1570.89000000,1557.62000000,1562.31000000,45814.96240000,1678247999999,71689790.32718300,75879,22573.52580000,35328944.40580400,0
1678248000000,1562.32000000,1563.48000000,1548.00000000,1551.29000000,51500.15290000,1678262399999,80060036.52986000,83404,24529.15930000,38133288.68743300,0
1678262400000,1551.29000000,1561.91000000,1549.67000000,1557.23000000,43206.75140000,1678276799999,67214645.52741200,77010,23823.96880000,37059570.75463000,0
1678276800000,1557.22000000,1566.02000000,1541.20000000,1560.39000000,134926.94820000,1678291199999,209648273.51963300,169543,65591.79940000,101915878.25971400,0
